brand,product name,class,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,display_size,OS,warranty
Acer,Aspire 7 A715-76G UN.QMESI.003 Gaming Laptop,B,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce GTX 1650,15.6,Windows 11 OS,1
Acer,Aspire 5 A515-57G UN.K9TSI.002 Gaming Laptop,B,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,Windows 11 OS,1
Acer,TravelMate P2 TMP214-53 Business Laptop,B,11th Gen Intel Core i7 1165G7,"Quad Core, 8 Threads",16GB,DDR4,1TB,SSD,Intel Integrated Iris Xe,14,Windows 11 OS,1
Acer,Aspire 5 15 A515-58M Gaming Laptop,B,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16GB,LPDDR5,512GB,SSD,4GB NVIDIA GeForce RTX2050,15.6,Windows 11 OS,2
Acer,Aspire 5 A515-58M NX.KHGSI.002 Gaming Laptop,B,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16GB,LPDDR5,512GB,SSD,Intel Integrated Iris Xe,15.6,Windows 11 OS,1
Acer,Aspire 5 A515-57G-58R7 Gaming Laptop,B,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",8GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,Windows 11 OS,1
Acer,Swift 3 SF314-512 NX.K0FSI.002 Laptop,B,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",8GB,LPDDR4X,512GB,SSD,Intel Integrated Iris Xe,14,Windows 11 OS,2
Acer,Aspire 7 A715-76G NH.QMFSI.004 Gaming Laptop,B,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce GTX 3050,15.6,Windows 11 OS,2
Acer,Nitro V ANV15-51 UN.QNASI.002 Gaming Laptop,C,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR5,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,Windows 11 OS,2
Acer,Nitro 5 AN515-47 NH.QL3SI.001 Gaming Laptop,C,7th Gen AMD Ryzen 5 7535HS,"Hexa Core, 12 Threads",8GB,DDR5,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,Windows 11 OS,1
Acer,Aspire 5 A515-58GM 15 2023 Gaming Laptop,C,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,Windows 11 OS,1
Acer,Nitro 5 AN515-58 NH.QFHSI.008 Gaming Laptop,C,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",8GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,Windows 11 OS,2
Acer,Nitro 5 AN515-47 2023 Gaming Laptop,C,7th Gen AMD Ryzen 5 7535HS,"Hexa Core, 12 Threads",16GB,DDR5,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,Windows 11 OS,1
Acer,Nitro V ANV15-51 2023 Gaming Laptop,C,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR5,512GB,SSD,6GB NVIDIA GeForce RTX 4050,15.6,Windows 11 OS,1
Acer,Nitro 5 AN515-47 NH.QL3SI.001 Gaming Laptop,C,7th Gen AMD Ryzen 5 7535HS,"Hexa Core, 12 Threads",8GB,DDR5,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,Windows 11 OS,1
Acer,Nitro 5 AN515-47 Gaming Laptop,C,7th Gen AMD Ryzen 7 7735HS,"Octa Core, 16 Threads",16GB,DDR5,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,Windows 11 OS,2
Acer,Aspire 5 2023 A515-58M Gaming Laptop,C,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",8GB,LPDDR5,512GB,SSD,4GB NVIDIA GeForce RTX2050,15.6,Windows 11 OS,1
Acer,Swift Go NXKPZSI002 Laptop,D,13th Gen Intel Core i5 13500H,"12 Cores (4P + 8E), 16 Threads",16GB,LPDDR5,512GB,SSD,Intel Integrated Iris Xe,14,Windows 11 OS,1
Acer,Nitro 5 AN515-58 NH.QFHSI.007 Gaming Laptop,D,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,Windows 11 OS,3
Acer,Nitro 5 AN515-58 NH.QFSSI.001 Gaming Laptop,D,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",16GB,DDR4,1TB,SSD,8GB NVIDIA GeForce RTX 3070 Ti,15.6,Windows 11 OS,1
Acer,Predator Helios Neo 16 NH.QLTSI.001 Laptop,D,13th Gen Intel Core i5 13500HX,"14 Cores (6P + 8E), 20 Threads",16GB,DDR5,512GB,SSD,6GB NVIDIA GeForce RTX 4050,16,Windows 11 OS,2
Acer,Predator Helios Neo 16 PHN16-71 Laptop,D,13th Gen Intel Core i7 13700HX,"16 Cores (8P + 8E), 24 Threads",16GB,DDR5,512GB,SSD,6GB NVIDIA GeForce RTX 4050,16,Windows 11 OS,2
Acer,Predator Helios Neo 16 NH.QLTSI.002 Laptop,D,13th Gen Intel Core i7 13700HX,"16 Cores (8P + 8E), 24 Threads",16GB,LPDDR5,512GB,SSD,6GB NVIDIA GeForce RTX 4050,16,Windows 11 OS,2
Acer,Swift Edge 16 2023 Laptop,D,7th Gen AMD Ryzen 7040 Series 040,"Octa Core, 16 Threads",16GB,LPDDR5,1TB,SSD,AMD Radeon AMD,16,Windows 11 OS,2
Acer,Predator Helios Neo 16 PHN16-71 Gaming Laptop,D,13th Gen Intel Core i7 13700HX,"16 Cores (8P + 8E), 24 Threads",16GB,DDR5,1TB,SSD,6GB NVIDIA GeForce RTX 4050,16,Windows 11 OS,2
Acer,Nitro 16 ?AN16-41 2023 Gaming Laptop,D,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",8GB,DDR5,512GB,SSD,8GB NVIDIA GeForce RTX 4060,16,Windows 11 OS,2
Acer,Nitro 16 ?AN16-41 Gaming Laptop,D,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16GB,DDR5,512GB,SSD,8GB NVIDIA GeForce RTX 4060,16,Windows 11 OS,1
Acer,Predator Helios Neo 16 PHN16-71 2023 Gaming Laptop,D,13th Gen Intel Core i7 13700HX,"16 Cores (8P + 8E), 24 Threads",16GB,DDR5,1TB,SSD,8GB NVIDIA GeForce RTX 4060,16,Windows 11 OS,1
Acer,Predator Triton 500 SE PT516-52s NH.QFQSI.001 Laptop,D,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",32GB,LPDDR5,2TB,SSD,8GB NVIDIA GeForce RTX 3070 Ti,16,Windows 11 OS,1
Acer,Predator Triton 500 SE PT516-52s NH.QFQSI.001 Laptop,D,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",32GB,LPDDR5,2TB,SSD,8GB NVIDIA GeForce RTX 3070 Ti,16,Windows 11 OS,2
Acer,Predator 16 NH.QLUSI.005 Laptop,D,13th Gen Intel Core i9 13900HX,"24 Cores (8P + 16E), 32 Threads",16GB,DDR5,1TB,SSD,8GB NVIDIA GeForce RTX 4060,16,Windows 11 OS,1
Acer,Predator Helios Neo 16 2023 PHN16-71 Gaming Laptop,D,13th Gen Intel Core i9 13900HX,"24 Cores (8P + 16E), 32 Threads",16GB,DDR5,1TB,SSD,8GB NVIDIA GeForce RTX 4070,16,Windows 11 OS,2
Apple,MacBook Air 2020 MGND3HN Laptop,C,Apple M1,Octa Core (4P + 4E),8GB,DDR4,256GB,SSD,Apple M1 Integrated Graphics,13.3,Mac OS,3
Apple,MacBook Air 2020 Laptop,C,10th Gen Intel Core i3,"Quad Core, 8 Threads",8GB,LPDDR4X,256GB,SSD,Intel Iris Plus,13.3,"Mac 10.15.3	 OS",3
Apple,MacBook Air 2022 Laptop,D,Apple M2,Octa Core (4P + 4E),8GB,DDR4,256GB,SSD,8-Core GPU,13.6,Mac OS,1
Apple,MacBook Air 2020 Laptop,D,10th Gen Intel Core i7,"Quad Core, 8 Threads",8GB,LPDDR4X,512GB,SSD,Intel Iris Plus,13.3,"Mac 10.15.3	 OS",2
Apple,MacBook Air 2020 MGN73HN Laptop,D,Apple M1 Apple M1 Chip,Octa Core (4P + 4E),8GB,DDR4,512GB,SSD,Apple M1 Integrated Graphics,13.3,Mac OS,1
Apple,MacBook Air 15 2023 Laptop,D,Apple M2,Octa Core (4P + 4E),8GB,DDR4,256GB,SSD,10-Core GPU,15.3,Mac OS,2
Apple,MacBook Air 2022 Laptop,D,Apple M2 Apple M2 Chip,Octa Core,8GB,Unified,512GB,SSD,10-Core GPU,13.6,Mac OS,1
Apple,MacBook Air 15 2023 Laptop,D,Apple M2,Octa Core (4P + 4E),8GB,DDR4,512GB,SSD,10-Core GPU,15.3,Mac OS,3
Apple,MacBook Pro 2018 13-inch Touch Bar Laptop,D,Intel,Quad Core,8GB,DDR3,512GB,SSD,Intel Iris Plus Graphics 655,13.3,Mac High Sierra OS,2
Asus,CX1101CMA-GJ0004 Chromebook,A,Intel Celeron  N4020,"Dual Core, 2 Threads",4GB,LPDDR4,32GB,Hard-Disk,Intel UHD Graphics 600,11.6,Chrome OS,1
Asus,Chromebook CX1400CKA-EK0335 Laptop,A,Intel Celeron N4500,"Dual Core, 2 Threads",4GB,LPDDR4X,128GB,SSD,Intel Integrated UHD,14,Chrome OS,1
Asus,Vivobook Go 15 E510MA-EJ001W Laptop,A,intel Celeron  N4020,"Dual Core, 2 Threads",4GB,DDR4,256GB,SSD,Integrated Intel UHD Graphics,15.6,Windows 11 OS,1
Asus,Chromebook CX1500CKA-EJ0241 Laptop,A,Intel Celeron N4500,"Dual Core, 2 Threads",4GB,LPDDR4X,64GB,SSD,Intel Integrated UHD,15.6,Chrome OS,1
Asus,Vivobook Go 14 E410KA-EK013W Laptop,A,Intel   N4500,"Dual Core, 2 Threads",8GB,DDR4,256GB,SSD,Intel Integrated UHD,14,Windows OS,1
Asus,Chromebook CX1500CKA-EJ0277 Laptop,A,Intel Celeron N4500,"Dual Core, 2 Threads",4GB,LPDDR4X,128GB,SSD,Intel Integrated UHD,15.6,Chrome OS,1
Asus,Eeebook 15 E510MA-EJ011WS Laptop,A,Intel Celeron N4020,"Dual Core, 2 Threads",8GB,DDR4,256GB,SSD,Intel UHD Integrated,15.6,Windows 11 OS,1
Asus,VivoBook X509FA-BR301T Laptop,A,10th Gen Intel Core i3 10110U ,"Dual Core, 4 Threads",4GB,DDR4,1TB,Hard-Disk,Intel UHD Graphics,15.6,Windows 10 OS,1
Asus,Chromebook CX1400FKA-EC0158 Laptop,A,Intel Celeron N4500,"Dual Core, 2 Threads",4GB,LPDDR4X,64GB,SSD,Intel Integrated UHD,14,Chrome OS,2
Asus,VivoBook 15 X515MA-BR022WS Laptop,A,Intel Celeron N4020,"Dual Core, 2 Threads",8GB,DDR4,512GB,SSD,Intel Integrated UHD 600,15.6,Windows OS,1
Asus,VivoBook 14 X415EA-EK326WS Notebook,A,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,Intel Integrated Intel UHD,14,Windows 11 OS,1
Asus,VivoBook 15 X1500EA-EJ311W Laptop,A,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,256GB,SSD,Intel Integrated UHD,15.6,Windows 11 OS,1
Asus,VivoBook 14 X1400EA-EK322WS Notebook,A,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,Intel Integrated Intel UHD,14,Windows 11 OS,1
Asus,Vivobook Go 14 2023 E1404FA-NK322WS Laptop,A,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8GB,LPDDR5,512GB,SSD,AMD Radeon AMD,14,Windows 11 OS,1
Asus,Vivobook 13 Slate OLED T3300KA-LQ122WS Laptop,A,Intel Pentium Silver  N6000,"Quad Core, 4 Threads",4GB,LPDDR4X,128GB,Hard-Disk,Intel UHD Graphics,13.3,Windows 11 OS,1
Asus,Vivobook Go 14 2023 E1404FA-NK322WS Laptop,A,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8GB,LPDDR5,512GB,SSD,AMD Radeon AMD,14,Windows 11 OS,1
Asus,VivoBook 14 X415EA-EK326WS Notebook,A,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,Intel Integrated Intel UHD,14,Windows 11 OS,1
Asus,VivoBook 15 X1500EA-EJ322WS Laptop,A,11th Gen intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,15.6,Windows 11 OS,1
Asus,Vivobook Go 14 2023 E1404FA-NK327WS Laptop,A,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8GB,LPDDR5,512GB,SSD,AMD Radeon AMD,14,Windows 11 OS,1
Asus,Vivobook Go 14 2023 E1404FA-NK325WS Laptop,A,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8GB,LPDDR5,512GB,SSD,AMD Radeon AMD,14,Windows 11 OS,1
Asus,VivoBook 15 X1500EA-EJ3381WS Laptop,A,11th Gen intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,15.6,Windows 11 OS,1
Asus,VivoBook 14 X415EA-EK344WS Notebook,A,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",16GB,DDR4,512GB,SSD,Intel Integrated Intel UHD,14,Windows 11 OS,2
Asus,VivoBook 15 X515EA-EJ342WS Laptop,A,11th Gen intel Core i3 1115G4,"Dual Core, 4 Threads",16GB,DDR4,512GB,SSD,Intel UHD Graphics,15.6,Windows 11 OS,1
Asus,Vivobook 15 X1504ZA-NJ321WS Laptop,A,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Integrated Intel UHD Graphics,15.6,Windows 11 OS,1
Asus,VivoBook 15 X1500EA-EJ326WS Laptop,A,11th Gen intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,15.6,Windows 11 OS,1
Asus,VivoBook 14 X415EA-EK322WS Notebook,A,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,Intel Integrated Intel UHD,14,Windows 11 OS,1
Asus,VivoBook 15 X515EA-EJ522WS Laptop,A,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,Intel Integrated Iris Xe,15.6,Windows 11 OS,1
Asus,Vivobook 15 Touch X515EA-EZ311WS Laptop,A,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,Intel Integrated UHD Graphics,15.6,Windows 11 OS,1
Asus,Vivobook 15 X1502ZA-EJ953WS Laptop,A,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe,15.6,Windows 11 OS,1
Asus,Vivobook 15 X1502ZA-EJ381WS Laptop,B,12th Gen Intel Core i3 1220P,"10 Cores (2P + 8E), 12 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,15.6,Windows 11 OS,1
Asus,Vivobook 15 X1502ZA-EJ385WS Laptop,B,12th Gen Intel Core i3 1220P,"10 Cores (2P + 8E), 12 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,15.6,Windows 11 OS,1
Asus,Vivobook 15 X1504ZA-NJ325WS Laptop,B,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Integrated Intel UHD Graphics,15.6,Windows 11 OS,1
Asus,Vivobook Go 14 E1404FA-NK547WS Laptop,B,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",8GB,LPDDR5,512GB,SSD,AMD Radeon AMD,14,Windows 11 OS,1
